date,factor_name,raw_coverage,post_filter_coverage,post_neutralization_coverage,cross_section_std
2018-10-12,liquidity_1m,1.0,1.0,1.0,1.0
2018-10-12,momentum_12m,0.9758620689655172,0.9758620689655172,0.9758620689655172,0.9999999999999996
2018-10-12,momentum_1m,1.0,1.0,1.0,1.0000000000000004
2018-10-12,momentum_3m,1.0,1.0,1.0,0.9999999999999996
2018-10-12,momentum_6m,1.0,1.0,1.0,1.0000000000000002
2018-10-12,reversal_1m,1.0,1.0,1.0,1.0000000000000004
2018-10-12,turnover_1m,1.0,1.0,1.0,1.0000000000000002
2018-10-12,turnover_3m,0.996551724137931,0.996551724137931,0.996551724137931,0.9999999999999991
2018-10-12,volatility_1m,1.0,1.0,1.0,0.9999999999999998
2018-10-12,volatility_3m,1.0,1.0,1.0,0.9999999999999997
2018-10-19,liquidity_1m,1.0,1.0,1.0,1.0
2018-10-19,momentum_12m,0.9757785467128027,0.9757785467128027,0.9757785467128027,1.0
2018-10-19,momentum_1m,1.0,1.0,1.0,1.0
2018-10-19,momentum_3m,1.0,1.0,1.0,0.9999999999999994
2018-10-19,momentum_6m,1.0,1.0,1.0,0.9999999999999994
2018-10-19,reversal_1m,1.0,1.0,1.0,1.0
2018-10-19,turnover_1m,1.0,1.0,1.0,0.9999999999999992
2018-10-19,turnover_3m,1.0,1.0,1.0,1.0
2018-10-19,volatility_1m,1.0,1.0,1.0,0.9999999999999998
2018-10-19,volatility_3m,1.0,1.0,1.0,1.0
2018-10-26,liquidity_1m,1.0,1.0,1.0,1.0
2018-10-26,momentum_12m,0.9757785467128027,0.9757785467128027,0.9757785467128027,0.9999999999999993
2018-10-26,momentum_1m,1.0,1.0,1.0,0.9999999999999999
2018-10-26,momentum_3m,1.0,1.0,1.0,1.0000000000000004
2018-10-26,momentum_6m,1.0,1.0,1.0,0.9999999999999997
2018-10-26,reversal_1m,1.0,1.0,1.0,0.9999999999999999
2018-10-26,turnover_1m,1.0,1.0,1.0,1.0000000000000002
2018-10-26,turnover_3m,1.0,1.0,1.0,0.9999999999999992
